CID,Username,Password,Signature,Type,FirstName,LastName,ClientID,ClientSecret
14,kevin,42,Doug Adams rocks,User,Kevin,Johnson,f4cb198e58be6a69d19862397e5973e0,3ab0776302c1225a2160d9bd572900989e4505ea053a799b0783b4effcfef581
15,dave,set,Bet on S.E.T. FTW,User,Dave,Kennedy,a64feb4d044ea55fc9cc27abdf50f5b6,19e85411b23d6e45a14aa64b7feb8697a05f85441827c9c2596b7aad07df1372
16,rocky,stripes,treats?,User,Rocky,Paws,13d9afce8e96bedc38c09fd7c981da63,aa64b282c03fcd9ae1ba99670fe752cbdd7da1fa4ca9a7e18c1f65426ec66e0e
17,tim,lanmaster53,Because reconnaissance is hard to spell,User,Tim,Tomes,5156342136f2856981b18727283a670a,750b21261407b0bfaaa28dd9106ebbd2d4416be730fa16087632547397e10519
18,ABaker,SoSecret,Muffin tops only,User,Aaron,Baker,113061f866537424391a4a653e5a389a,f825987c2c12b15fb0ec3ddfac708d3c4b3d36b37efdbd082a3b53a9c2d7478b
19,PPan,NotTelling,Where is Tinker?,User,Peter,Pan,f6634f91aee90d96285bdae26ea2e3d8,c08081b854506196963e49ac54848c7b17e5fb2c6a6b5bc229a05f513c793df2
20,CHook,JollyRoger,Gator-hater,User,Captain,Hook,0c140545824563bbff1eaca0d40fe005,9d33f388607fa12d16497836ee3ce70792894db8b1ed2288aa50eb556002c692
21,james,i<3devs,Occupation: Researcher,User,James,Jardine,3b33bfb905df17ff6c74eaa0914b5587,6ec672308f529702f89cb4605e63ae70ae8c780fd323a65c09410394c2748a29
22,ed,pentest,Commandline KungFu anyone?,User,Ed,Skoudis,19ebacbf66a48af6954941b7c1f25730,f0495bf25a48ab659dd83434368e13812425b98c437268b97c6662174bee2e2e
23,joe,holly,Off by one error,User,Joe,Holly,2be37588d6ca9003c2b5e6594681f323,ea1a306083fc8139ad2138c2297819265e8ef85bce6969d44da9289e808a9829
24,peter,initech123,I dont like my job,User,Peter,Gibbons,46c5df0f31f1717cfcd4d32f43bf8b87,97290f53078e8d4f1398daeef726412dc4274547cef577af43f86e6a317ea768
25,milton,stapler,Wheres my stapler?,User,Milton,Waddams,3356981cacc75d7113b60f30ffad7134,8a63826ce7546a0fa6dab1d117f086f56ef9a303d0d2c8bce3fafccc58751d51
26,bill,tpsreports,Did you get the memo?,User,Bill,Lumbergh,0cb43808468e408d84287d0fa9c7005e,cf3387a37301e2d094e31e4f4e61bc2534e2fcd7926d3ad94556fed9a8f0a435
27,samir,nojoke123,No one can pronounce my last name,User,Samir,Nagheenanajar,4d566cf5fb0e1ed0af0035982911078a,d9182e61e1682e6c8a42227a755ac1e55b61b7ee87458744c15309c530ece2da
28,michael_b,michael123,We fixed the glitch,User,Michael,Bolton,b94e5a701bc47df3fa2e2511cbdd04dd,091afd033cc51bfbcc590d2eead0474318938f868820ec17f5e7469d86f2e1b9
29,michael_s,worldsbestboss,Worlds Best Boss,User,Michael,Scott,2c8d441a57c80bb570886fe4eb8945b2,4e0c32a340b1acb2971f606052eba36be72903342cc65eb1269c884a56dd03fa
30,jim,bearsbeatsbattlestar,Pranking Dwight,User,Jim,Halpert,28dd719092f3769a84967e563f1c7161,f618df63f8e2ccf60cbe5f811a44b73f07e0f457630da45b568eec32ebd7eb09
31,dwight,assistant_to_the_regional_manager,Bears. Beets. Battlestar Galactica.,User,Dwight,Schrute,df89fe17196754bc74b9903b77db26e7,de27263d0df2ff4cb865075274cc87a91c3e175a5fc9631cc1b18115ccf55661
32,pam,pammy123,Dunder Mifflin,User,Pam,Beesly,487c8c1e0a30d0574d978d24cf42a607,12d50bb874fb4613535f7f64ac1eb412a510ba0afa9cd625283d8f464aa67779
33,ryan,temp123,I am the temp,User,Ryan,Howard,c5d16988282cf8f1c94c2dfb4738e8cf,5adc329f81b5c9d4883ca69c3989aa58dc614aeb4dcdcbec6e79e4de2f5ae6a7
34,derek,bluestrike,Im pretty sure theres more to life than being really, really ridiculously good looking,User,Derek,Zoolander,a74997a23f2ab65afd0f6356497680b2,b86448e80a8c24ff7d45646036b287b6787494924bd088d49cb4b5b4bf1ba2bc
35,hansel,hansel123,Hansel. Hes so hot right now.,User,Hansel,,5a1585d7200f7e363e2b9f3fa1732fb8,08d66bafaa967fb7e20ba4f43bdfab569e84bd0d77adaa708de31d1439ccfee1
36,mugatu,mugatu123,I invented the piano key necktie!,User,Jacobim,Mugatu,c5621718d2914484e1652a64e77a3208,6c815a5e65660d47cd901222b038144c570ece131635508edcf727866b6cd083
37,matilda,journalist123,Investigative reporter,User,Matilda,Jeffries,9c0b711828933249014e224323fe704d,706ce846aec34c08336a97e3fe46f3444923fb210aecdeab6b3fdb5c0f429979
38,stackhawk,Kaakaww,Swooping in for security,User,Stack,Hawk,eb5dedd7958cdc6f932a5710cb19d19a,8bf05c728731a956f1c82143fe43832d72f82bf1dad591a366a3beee8aa23b1f
39,zoolander,zoolander123,I am really, really, really, ridiculously good looking,User,Derek,Zoolander,f625fb088be5425c4c7ca59385f91f28,553762c09b87646cfce2e090fa9066e9cca29206da89c65910ff83cc283093ed
40,maury,maury123,Youre the guy who cant turn left,User,Maury,Ballstein,2b1eabf0d5b419cbee0a495aaba8bed7,e50dfe98ea726ae8f068334a986ade5acd96473564a49e33961efa9a0ec1e3bc
